Vrms_current,Vrms,Irms,P,S,PF
0.0479,215.1,0.148,7.453,31.821,0.234
0.0534,220,0.165,3.52,36.23,0.097
0.0506,210.4,0.156,8.733,32.881,0.266
0.0484,224.4,0.149,6.138,33.541,0.183
0.0496,219.2,0.153,5.525,33.574,0.165
0.0565,215.3,0.174,6.322,37.543,0.168
0.0567,212.7,0.175,6.075,37.192,0.163
0.0529,210.9,0.163,6.92,34.435,0.201
0.0476,216.9,0.147,7.086,31.841,0.223
0.0486,223.5,0.15,4.558,33.526,0.136
0.0522,218.8,0.161,5.067,35.275,0.144
0.0535,215.2,0.165,6.174,35.543,0.174
0.0551,211.8,0.17,7.843,35.991,0.218
0.0523,212.8,0.161,7.987,34.349,0.233
0.0511,213.6,0.158,7.533,33.714,0.223
0.0489,220.4,0.151,4.911,33.276,0.148
0.0559,219.3,0.173,6.419,37.845,0.17
0.0518,216.9,0.16,6.067,34.652,0.175
0.0511,214.1,0.158,7.106,33.79,0.21
0.0504,219.1,0.156,5.254,34.098,0.154
0.0482,216.3,0.149,7.599,32.189,0.236
0.0518,221.3,0.16,4.393,35.38,0.124
0.0519,211.3,0.16,8.288,33.821,0.245
0.0517,220.6,0.16,4.613,35.18,0.131
0.0536,215.5,0.165,6.851,35.636,0.192
0.0496,220.2,0.153,5.309,33.706,0.157
0.0516,213.9,0.159,7.624,34.068,0.224
0.0523,209.7,0.162,8.234,33.869,0.243
0.0509,218.5,0.157,5.357,34.293,0.156
0.0491,221.4,0.152,5.488,33.561,0.164
0.0516,212.5,0.159,8.23,33.836,0.243
0.051,220.3,0.157,5.461,34.685,0.157
0.0533,211.5,0.165,8.107,34.819,0.233
0.0498,221.2,0.154,4.856,33.994,0.143
0.0505,216.8,0.156,6.25,33.786,0.185
0.0537,215,0.166,7.121,35.624,0.2
0.047,218.9,0.145,5.628,31.776,0.177
0.0504,209.4,0.155,9.082,32.551,0.279
